r,vel,vel_u
0.13764025439311606, 20.883956056369847, 34.290957312058744
0.3061795513402444, 42.799263025716925, 51.56536220869727
0.47752779370806514, 57.75321688600129, 64.45670276087156
0.651685302959776, 67.03497677249602, 73.48063967209622
0.8342699699367617, 75.02762178263981, 80.69981575642933
1.0084268362620772, 85.08285059494523, 89.20810671711351
1.174157187788513, 95.39593188846918, 100.29465693644802
1.345505430156334, 107.51381826780703, 111.38122190875666
1.5252805087862322, 114.99078782146209, 120.4051588199812
1.6994380180379427, 122.98343283160577, 128.39778907715097
1.873595527289654, 127.8821431266105, 135.35911268026555
2.0533706059195516, 134.06996829796628, 144.89871029500472
2.2191006359827905, 135.10128970499537, 151.60221092284922
