r,vel,vel_u
0.0771903179483786, 8.928576720003276, 24.107138751721607
0.1606397103928591, 15.000013794215509, 25.53570857461724
0.25034769983309757, 22.14284247281847, 30.000007152556183
0.3442280872705094, 30.178555390059078, 36.78571892027882
0.4381084747079212, 37.857141178481754, 43.92857825269392
0.531988862145333, 45.35713785765209, 51.07142736717171
0.6258692495827444, 52.678576081382154, 57.678570461516685
0.7155772390229833, 57.321433114761525, 61.60714258344812
0.8115438254589816, 61.78571125682571, 65.53571470537956
0.9095966108935654, 66.96428452827512, 70.89285665020664
1.0952711867698026, 78.75000089406952, 83.21427903613385
1.2767733646488668, 83.57142660082638, 87.49999872275782
1.3706537520862787, 86.78571381131005, 91.7856979735072
1.4645341395236902, 93.39285690565502, 99.4642837619298
1.5563288054628583, 95.8928489867536, 104.28569925074937
1.6564673123956857, 91.7856979735072, 104.82142570675688
