r,vel
0.07620320855614975, 4.6153846153846265
0.1644385026737968, 9.230769230769234
0.2466577540106952, 14.188034188034187
0.34291443850267384, 21.025641025641026
0.43516042780748665, 28.888888888888886
0.5274064171122995, 36.068376068376075
0.6196524064171124, 41.7094017094017
0.7139037433155081, 45.47008547008547
0.804144385026738, 48.717948717948715
0.9024064171122995, 52.478632478632484
1.092914438502674, 57.26495726495726
1.2754010695187168, 61.02564102564103
1.3656417112299466, 62.05128205128205
1.4639037433155082, 63.24786324786325
1.5541443850267382, 63.76068376068376
1.648395721925134, 64.1025641025641
