r,vel,vel_Mol,vel_Atom
0.10080645161290322, 9.407665505226465, 2.454557470839549, 0.0
0.2217741935483871, 20.487804878048777, 4.6363669135347525, 0.0
0.3588709677419355, 29.895470383275242, 7.909110207987485, 0.0
0.5, 37.63066202090586, 11.727291297909055, 0.0
0.6290322580645161, 43.06620209059229, 13.63638184286984, 0.0
0.7943548387096774, 47.45644599303141, 15.545472387830625, 0.0
0.9153225806451613, 51.846689895470426, 16.636377109178227, 1.0909338517575287
1.0685483870967742, 55.40069686411147, 17.18184403505699, 1.9091196753707116
1.1975806451612903, 58.118466898954736, 17.45456293279141, 2.1818385731051304
1.3387096774193548, 60.836236933797906, 14.181819638338677, 2.727276368573968
1.4838709677419355, 62.7177700348432, 13.36366294513542, 3.272743294452732
1.6209677419354838, 63.13588850174214, 15.545472387830625, 3.545462192187151
1.7620967741935483, 64.80836236933793, 19.636372375486612, 3.8182102203314967
1.9193548387096773, 66.68989547038323, 25.09092511263455, 4.090929118065915
2.0564516129032255, 67.10801393728221, 26.45454873171657, 4.909114941679098
2.185483870967742, 68.15331010452958, 27.81820148120852, 5.727300765292282
2.32258064516129, 70.66202090592331, 28.6363873048217, 6.272738560761119
2.471774193548387, 71.70731707317067, 28.90910620255612, 7.090924384374302
2.6088709677419355, 72.12543554006966, 29.18182510029054, 7.909110207987485
2.745967741935484, 72.96167247386754, 28.363639276677354, 8.181829105721905
2.8951612903225805, 72.96167247386754, 26.727296759860916, 8.727296031600668
3.040322580645161, 72.96167247386754, 25.909110936247732, 8.727296031600668
3.1693548387096775, 72.96167247386754, 25.36364401036897, 10.09091965068269
3.310483870967742, 72.12543554006966, 25.636362908103386, 10.09091965068269
