# Table B.1 and Table B.2 from battaglia2022gaia_Astron. Astrophys. - Gaia early DR3 systemic motions of local group dwarf galaxies and orbital properties with a massive Large Magellanic Cloud
# See MW_satellites.csv for the results of (X,Y,Z) and (v_x, v_y, v_z)
Galaxy            RA           DEC         Distance  Distance_u  Distance_d   v_los    v_los_u  v_los_d     mu_alpha mu_alpha_u mu_alpha_d   mu_delta mu_delta_u mu_delta_d
ReticulumII       53.94929     -54.04661   17.50     -0.10       +0.10        64.70    -0.80    +1.30       2.37     -0.02      +0.02        -1.35    -0.02      +0.02           
ReticulumIII      56.36000     -60.45000   19.81     -0.31       +0.31        274.20   -7.40    +7.50       0.31     -0.14      +0.14        -0.61    -0.30      +0.22           
SagittariusII     298.16471    -22.06505   19.20     -0.20       +0.20        -177.20  -0.60    +0.50       -0.77    -0.04      +0.04        -0.91    -0.02      +0.02           
Sculptor          15.01830     -33.71860   19.62     -0.04       +0.04        110.60   -0.50    +0.50       0.099    -0.002     +0.002       -0.159   -0.002     +0.002        
Segue1            151.75040    16.07560    16.80     -0.20       +0.20        208.50   -0.90    +0.90       -2.06    -0.05      +0.05        -3.42    -0.04      +0.05           
Segue2            34.82260     20.16240    17.68     -0.17       +0.17        -40.20   -0.90    +0.90       1.43     -0.05      +0.06        -0.31    -0.05      +0.04           
Sextans           153.26800    -1.61800    19.64     -0.01       +0.01        226.00   -0.60    +0.60       -0.40    -0.01      +0.01        0.02     -0.01      +0.01            
TriangulumII      33.32520     36.17020    17.27     -0.11       +0.11        -381.70  -1.10    +1.10       0.58     -0.05      +0.05        0.08     -0.06      +0.06            
TucanaII          342.97960    -58.56890   18.80     -0.20       +0.20        -129.10  -3.50    +3.50       0.91     -0.02      +0.02        -1.27    -0.03      +0.03           
TucanaIII         359.10750    -59.58332   16.80     -0.10       +0.10        -101.20  -0.50    +0.50       -0.08    -0.02      +0.02        -1.62    -0.02      +0.02           
TucanaIV          0.71700      -60.83000   18.36     -0.19       +0.18        15.90    -1.70    +1.80       0.56     -0.04      +0.05        -1.69    -0.05      +0.05           
TucanaV           354.34700    -63.26600   18.70     -0.34       +0.11        -36.20   -2.20    +2.50       -0.13    -0.20      +3.79        -1.15    -0.13      +5.07           
UrsaMajorI        158.77060    51.94790    19.94     -0.13       +0.13        -55.30   -1.40    +1.40       -0.40    -0.03      +0.03        -0.63    -0.04      +0.04           
UrsaMajorII       132.87260    63.13350    17.70     -0.16       +0.16        -116.50  -1.90    +1.90       1.73     -0.02      +0.02        -1.90    -0.02      +0.02           
UrsaMinor         227.24200    67.22210    19.41     -0.12       +0.12        -246.90  -0.40    +0.40       -0.124   -0.004     +0.004       0.071    -0.005     +0.005         
Willman1          162.34360    51.05010    17.90     -0.40       +0.40        -14.10   -1.00    +1.00       0.28     -0.07      +0.06        -1.11    -0.07      +0.08           
LeoA              149.86042    30.74639    24.28     -0.05       +0.05        26.20    -0.90    +1.00       -0.06    -0.09      +0.09        -0.06    -0.08      +0.09           
