#R[kpc]	Baryon[km/s]	CDM[km/s]	QUMOND[km/s]	MOG[km/s]
13.320000	152.663168	223.498115	217.793412	204.399523
13.380000	152.359166	223.375500	217.681107	204.349104
13.440000	152.056353	223.253256	217.569149	204.299366
13.500000	151.754734	223.131390	217.457547	204.250307
13.560000	151.454313	223.009907	217.346310	204.201929
13.620000	151.155093	222.888811	217.235449	204.154230
13.680000	150.857078	222.768107	217.124971	204.107208
13.740000	150.560271	222.647801	217.014886	204.060864
13.800000	150.264674	222.527895	216.905201	204.015194
13.860000	149.970290	222.408394	216.795925	203.970199
13.920000	149.677121	222.289302	216.687064	203.925875
13.980000	149.385169	222.170622	216.578627	203.882220
14.040000	149.094434	222.052356	216.470619	203.839233
14.100000	148.804919	221.934509	216.363048	203.796910
14.160000	148.516623	221.817082	216.255920	203.755249
14.220000	148.229548	221.700079	216.149240	203.714247
14.280000	147.943695	221.583501	216.043016	203.673901
14.340000	147.659062	221.467351	215.937250	203.634208
14.400000	147.375650	221.351629	215.831950	203.595164
14.460000	147.093458	221.236339	215.727121	203.556765
14.520000	146.812486	221.121482	215.622766	203.519008
14.580000	146.532733	221.007058	215.518890	203.481890
14.640000	146.254198	220.893069	215.415498	203.445406
14.700000	145.976879	220.779517	215.312593	203.409551
14.760000	145.700775	220.666401	215.210179	203.374323
14.820000	145.425885	220.553722	215.108260	203.339716
14.880000	145.152206	220.441482	215.006839	203.305726
14.940000	144.879736	220.329680	214.905919	203.272348
15.000000	144.608474	220.218316	214.805503	203.239579
15.060000	144.338417	220.107391	214.705594	203.207412
15.120000	144.069561	219.996905	214.606193	203.175844
15.180000	143.801905	219.886857	214.507305	203.144869
15.240000	143.535446	219.777248	214.408931	203.114483
15.300000	143.270180	219.668076	214.311072	203.084680
15.360000	143.006105	219.559342	214.213731	203.055455
15.420000	142.743217	219.451045	214.116909	203.026804
15.480000	142.481513	219.343184	214.020609	202.998720
15.540000	142.220988	219.235758	213.924830	202.971199
15.600000	141.961640	219.128767	213.829575	202.944235
15.660000	141.703465	219.022210	213.734845	202.917823
15.720000	141.446459	218.916085	213.640640	202.891958
15.780000	141.190617	218.810392	213.546961	202.866633
15.840000	140.935937	218.705128	213.453809	202.841844
15.900000	140.682412	218.600294	213.361185	202.817585
15.960000	140.430040	218.495888	213.269088	202.793850
16.020000	140.178815	218.391908	213.177520	202.770634
16.080000	139.928734	218.288352	213.086479	202.747931
16.140000	139.679792	218.185220	212.995968	202.725736
16.200000	139.431983	218.082510	212.905984	202.704042
16.260000	139.185305	217.980220	212.816529	202.682844
16.320000	138.939750	217.878347	212.727602	202.662137
16.380000	138.695316	217.776892	212.639202	202.641915
16.440000	138.451996	217.675852	212.551330	202.622171
16.500000	138.209787	217.575224	212.463984	202.602901
16.560000	137.968682	217.475008	212.377165	202.584098
16.620000	137.728677	217.375201	212.290870	202.565758
16.680000	137.489766	217.275802	212.205101	202.547873
16.740000	137.251946	217.176807	212.119854	202.530439
16.800000	137.015209	217.078216	212.035131	202.513450
16.860000	136.779551	216.980027	211.950930	202.496899
16.920000	136.544967	216.882236	211.867249	202.480782
16.980000	136.311452	216.784843	211.784087	202.465092
17.040000	136.078999	216.687845	211.701444	202.449825
17.100000	135.847604	216.591240	211.619318	202.434973
17.160000	135.617261	216.495025	211.537708	202.420532
17.220000	135.387965	216.399199	211.456612	202.406497
17.280000	135.159710	216.303759	211.376029	202.392860
17.340000	134.932490	216.208703	211.295957	202.379618
17.400000	134.706301	216.114030	211.216395	202.366763
17.460000	134.481136	216.019736	211.137342	202.354292
17.520000	134.256990	215.925819	211.058794	202.342197
17.580000	134.033857	215.832278	210.980752	202.330474
17.640000	133.811732	215.739109	210.903212	202.319118
17.700000	133.590609	215.646311	210.826174	202.308122
17.760000	133.370483	215.553881	210.749636	202.297481
17.820000	133.151347	215.461817	210.673595	202.287191
17.880000	132.933197	215.370117	210.598050	202.277244
17.940000	132.716026	215.278778	210.522998	202.267637
18.000000	132.499830	215.187799	210.448439	202.258364
18.060000	132.284601	215.097176	210.374370	202.249420
18.120000	132.070335	215.006907	210.300788	202.240799
18.180000	131.857026	214.916991	210.227692	202.232496
18.240000	131.644669	214.827425	210.155080	202.224506
18.300000	131.433257	214.738206	210.082950	202.216824
18.360000	131.222785	214.649333	210.011300	202.209445
18.420000	131.013248	214.560802	209.940126	202.202363
18.480000	130.804639	214.472613	209.869429	202.195575
18.540000	130.596953	214.384761	209.799204	202.189073
18.600000	130.390184	214.297246	209.729450	202.182855
18.660000	130.184329	214.210065	209.660166	202.176914
18.720000	129.979381	214.123215	209.591347	202.171247
18.780000	129.775332	214.036695	209.522994	202.165847
18.840000	129.572179	213.950502	209.455102	202.160711
18.900000	129.369915	213.864634	209.387670	202.155833
18.960000	129.168536	213.779088	209.320695	202.151209
19.020000	128.968035	213.693863	209.254177	202.146834
19.080000	128.768407	213.608956	209.188111	202.142703
19.140000	128.569648	213.524365	209.122496	202.138812
19.200000	128.371750	213.440089	209.057329	202.135157
19.260000	128.174709	213.356123	208.992608	202.131732
19.320000	127.978520	213.272468	208.928332	202.128533
19.380000	127.783176	213.189120	208.864497	202.125557
19.440000	127.588673	213.106078	208.801101	202.122797
19.500000	127.395006	213.023338	208.738143	202.120251
19.560000	127.202168	212.940900	208.675619	202.117913
19.620000	127.010155	212.858761	208.613527	202.115780
19.680000	126.818962	212.776918	208.551866	202.113847
19.740000	126.628582	212.695371	208.490632	202.112110
19.800000	126.439011	212.614117	208.429825	202.110564
19.860000	126.250244	212.533154	208.369440	202.109207
19.920000	126.062276	212.452479	208.309477	202.108033
19.980000	125.875100	212.372091	208.249932	202.107038
20.040000	125.688713	212.291989	208.190803	202.106219
20.100000	125.503109	212.212169	208.132089	202.105572
20.160000	125.318283	212.132631	208.073787	202.105092
20.220000	125.134229	212.053371	208.015894	202.104776
20.280000	124.950944	211.974389	207.958409	202.104621
