#R[kpc]	Baryon[km/s]	CDM[km/s]	QUMOND[km/s]	MOG[km/s]
27.900000	106.494720	203.728395	203.359629	202.443419
27.960000	106.378657	203.675196	203.341500	202.444046
28.020000	106.262950	203.622162	203.323630	202.444597
28.080000	106.147596	203.569292	203.306018	202.445071
28.140000	106.032593	203.516587	203.288664	202.445466
28.200000	105.917941	203.464046	203.271569	202.445783
28.260000	105.803638	203.411670	203.254731	202.446021
28.320000	105.689681	203.359458	203.238152	202.446179
28.380000	105.576069	203.307410	203.221831	202.446258
28.440000	105.462802	203.255526	203.205768	202.446256
28.500000	105.349876	203.203807	203.189964	202.446173
28.560000	105.237291	203.152251	203.174418	202.446010
28.620000	105.125044	203.100860	203.159132	202.445764
28.680000	105.013135	203.049632	203.144104	202.445437
28.740000	104.901562	202.998568	203.129335	202.445027
28.800000	104.790323	202.947669	203.114826	202.444534
28.860000	104.679417	202.896934	203.100576	202.443959
28.920000	104.568842	202.846362	203.086586	202.443299
28.980000	104.458597	202.795955	203.072856	202.442556
29.040000	104.348681	202.745711	203.059386	202.441729
29.100000	104.239092	202.695632	203.046176	202.440817
29.160000	104.129828	202.645716	203.033228	202.439821
29.220000	104.020888	202.595965	203.020540	202.438739
29.280000	103.912271	202.546378	203.008114	202.437572
29.340000	103.803976	202.496955	202.995950	202.436319
29.400000	103.696000	202.447697	202.984048	202.434980
29.460000	103.588344	202.398603	202.972409	202.433555
29.520000	103.481005	202.349673	202.961032	202.432043
29.580000	103.373981	202.300909	202.949919	202.430445
29.640000	103.267273	202.252308	202.939070	202.428759
29.700000	103.160878	202.203872	202.928485	202.426987
29.760000	103.054796	202.155601	202.918164	202.425126
29.820000	102.949024	202.107495	202.908109	202.423179
29.880000	102.843562	202.059555	202.898320	202.421143
29.940000	102.738409	202.011779	202.888797	202.419019
30.000000	102.633563	201.964169	202.879541	202.416807
30.060000	102.529023	201.916725	202.870552	202.414507
30.120000	102.424789	201.869445	202.861831	202.412117
30.180000	102.320858	201.822333	202.853379	202.409640
30.240000	102.217229	201.775385	202.845196	202.407073
30.300000	102.113903	201.728605	202.837283	202.404417
30.360000	102.010877	201.681990	202.829640	202.401672
30.420000	101.908150	201.635542	202.822269	202.398838
30.480000	101.805721	201.589260	202.815169	202.395915
